x,y,altura_m,area_m2,classe,nome
617061.2,6992348.1,2.72,1280,?,
646405.2,7006060.1,2.71,21760,?,
605845.2,6998060.1,2.71,7040,?,
620245.2,6990988.1,2.71,40064,?,
619725.2,6979860.1,2.71,256,?,
730085.2,7023244.1,2.7,448,?,
733077.2,7021292.1,2.7,2240,?,
620621.2,6990492.1,2.7,25024,?,
649573.2,7003916.1,2.69,16448,?,
606557.2,6997452.1,2.69,12672,?,
709805.2,7020204.1,2.68,448,?,
694157.2,6990444.1,2.68,256,?,
683693.2,6989844.1,2.68,448,ponte,
671509.2,7029180.1,2.67,576,?,
690277.2,7024644.1,2.67,1408,?,
729709.2,7023084.1,2.67,896,?,
690525.2,6990316.1,2.67,1344,?,
641597.2,7009036.1,2.66,1088,?,
648397.2,7005684.1,2.66,10880,?,
644949.2,6997156.1,2.66,384,?,
637605.2,6968212.1,2.66,768,represa,CGH Aguas Negras - CGH Águas Negras
630373.2,6986100.1,2.65,1344,?,
654573.2,6939572.1,2.65,3520,?,
671405.2,7029308.1,2.64,1024,?,
635021.2,7019228.1,2.64,256,?,
610309.2,6995676.1,2.64,256,?,
734589.2,7025364.1,2.63,256,?,
729621.2,7023196.1,2.63,704,?,
593069.2,7001828.1,2.63,832,?,
636165.2,6976708.1,2.63,19712,?,
652133.2,6948972.1,2.63,5056,?,
637317.2,7014060.1,2.62,256,ponte,
608213.2,6996436.1,2.62,448,?,
649701.2,7003948.1,2.61,1856,?,
729949.2,7022132.1,2.6,256,?,
633661.2,6980316.1,2.6,2304,?,
729661.2,7023068.1,2.59,768,?,
719645.2,7016532.1,2.59,640,?,
681741.2,6989364.1,2.59,768,?,
622853.2,6981796.1,2.59,5184,?,
706805.2,7021940.1,2.58,448,?,
622157.2,6980956.1,2.58,5632,ponte,
588317.2,7007468.1,2.57,2176,?,
734605.2,7025404.1,2.56,576,?,
715685.2,7022980.1,2.56,256,?,
654757.2,7004460.1,2.56,640,?,
696317.2,6996052.1,2.56,576,?,
671029.2,7031572.1,2.55,256,?,
672757.2,7028204.1,2.55,768,?,
728405.2,7018972.1,2.55,2240,?,
640173.2,7009996.1,2.55,21248,?,
712165.2,7008100.1,2.55,1408,ponte,
696437.2,6993868.1,2.55,320,?,
722797.2,7027540.1,2.54,384,?,
716069.2,7023692.1,2.54,256,?,
644605.2,7007364.1,2.54,23616,?,
593845.2,6992436.1,2.54,2368,?,
605853.2,6998292.1,2.53,8768,?,
621453.2,6990076.1,2.53,21632,?,
684477.2,7025332.1,2.52,256,?,
684125.2,7023732.1,2.52,640,?,
644445.2,7009652.1,2.52,320,?,
645229.2,7006300.1,2.52,10048,?,
620325.2,6980300.1,2.52,640,?,
636733.2,6965132.1,2.52,448,?,
646037.2,6954740.1,2.52,2432,?,
687133.2,7025252.1,2.51,384,?,
728645.2,7018884.1,2.51,4864,?,
719509.2,7016380.1,2.51,448,?,
642453.2,7008492.1,2.51,256,?,
689901.2,7025836.1,2.5,1728,?,
729869.2,7020092.1,2.5,2176,?,
587725.2,7007988.1,2.5,256,?,
653565.2,7003548.1,2.5,448,?,
722949.2,7027500.1,2.49,320,?,
652925.2,6943716.1,2.49,640,?,
729357.2,7019788.1,2.47,1088,?,
650653.2,6950100.1,2.46,320,?,
640957.2,7009756.1,2.45,26752,?,
659669.2,7009140.1,2.45,5248,?,
622277.2,6981356.1,2.45,832,?,
653941.2,6940892.1,2.45,1408,?,
645405.2,7006036.1,2.44,2368,?,
647325.2,7003676.1,2.44,320,?,
635405.2,6989916.1,2.44,640,?,
621685.2,6980860.1,2.44,1024,?,
637021.2,6972700.1,2.44,1152,?,
729797.2,7019892.1,2.43,768,?,
623909.2,6982396.1,2.43,4736,?,
617493.2,6974476.1,2.43,256,?,
659317.2,7008636.1,2.42,7744,?,
690277.2,6990500.1,2.42,256,?,
694237.2,7022452.1,2.4,256,?,
729965.2,7020700.1,2.4,832,?,
729509.2,7019932.1,2.4,256,?,
641869.2,7008860.1,2.4,320,?,
647893.2,7001972.1,2.4,704,?,
649357.2,6951764.1,2.4,1792,?,
677669.2,7025852.1,2.39,576,?,
660541.2,7010060.1,2.39,512,?,
641437.2,7009628.1,2.39,9408,represa,CGH Mafrás - PCH Mafras
708893.2,7003716.1,2.39,576,?,
640757.2,6957836.1,2.39,1216,?,
616125.2,6971460.1,2.38,1216,?,
581765.2,7017612.1,2.37,256,?,
637461.2,7013588.1,2.37,320,?,
645645.2,6997700.1,2.37,1216,?,
638245.2,6969380.1,2.37,320,?,
652957.2,6943628.1,2.37,11968,?,
731909.2,7022412.1,2.36,1664,?,
729517.2,7020388.1,2.36,2816,?,
622717.2,6981372.1,2.36,1024,?,
684957.2,7024324.1,2.35,960,?,
660925.2,7012132.1,2.35,448,?,
695973.2,6994228.1,2.35,576,?,
674477.2,7025924.1,2.34,256,?,
642805.2,7008916.1,2.34,448,?,
698685.2,6995844.1,2.34,256,?,
619485.2,6979756.1,2.33,640,?,
637557.2,6967508.1,2.33,256,?,
729949.2,7020684.1,2.32,320,?,
649397.2,6951716.1,2.32,1280,?,
652901.2,6948636.1,2.32,320,?,
593045.2,7001700.1,2.31,384,?,
727597.2,7025836.1,2.3,256,?,
645189.2,6997684.1,2.3,3456,?,
697141.2,6996220.1,2.3,256,?,
644237.2,7009292.1,2.29,256,?,
655573.2,7004436.1,2.29,3136,?,
682829.2,6989404.1,2.29,6080,?,
649405.2,6951692.1,2.29,256,?,
729453.2,7019084.1,2.28,448,?,
663229.2,7006548.1,2.28,448,?,
594669.2,7002668.1,2.28,256,?,
652829.2,7001836.1,2.28,46336,?,
